a;b;c;d;e;t
-122751490.26; 37882.36; 2736.92; 711.63; -3022; 0
-650691723.48; 122346.97; -1378.07; 524.25; -5379; 0
-276854635.90; 58647.94; 2725.29; 171.91; -4511; -1
56693018.58; 10061.65; -2503.59; 532.19; 7501; -1
-480036464.91; 102920.14; 3188.72; 985.88; -4524; -1
-124105587.48; 9521.40; 3295.46; 63.10; -9683; -3
-806948360.23; 112599.73; -2285.53; 390.51; -7315; 1
37260029.87; 95836.49; -1267.88; 417.45; 394; 0
1108058393.63; 111343.28; 4671.63; 942.81; 9551; 4
-293690034.22; 48778.47; 5689.26; 541.68; -5392; -3
-81207822.93; 59535.65; 4256.83; 386.27; -1273; 0
-351468405.90; 42532.52; 3112.73; 254.00; -7700; -2
709210109.22; 84327.20; 92.53; 154.62; 8401; 0
-234513060.42; 75357.47; -2887.42; 450.46; -3236; 0
325915402.47; 121209.50; 1315.09; 117.59; 2660; 0
-449849415.52; 57869.23; 2006.90; 890.32; -7513; -1
116801145.53; 21704.53; 2284.20; 973.71; 4869; 1
719264894.11; 93321.43; 565.12; 229.26; 7661; 0
55070757.94; 16567.20; -2632.29; 342.75; 3952; -1
169703776.48; 80422.90; -2577.13; 441.49; 2180; 0
262346024.76; 102945.95; 3009.64; 37.39; 2476; 0
635215682.79; 75278.81; 28.32; 113.34; 8435; 0
74984287.26; 14300.03; 1097.16; 623.89; 4870; 0
-506221576.88; 54169.28; -424.55; 853.82; -9419; 0
-431415361.19; 43608.60; 3157.30; 945.13; -9225; -2
39101714.81; 14215.65; 2844.44; 894.26; 2292; 0
-592828750.95; 100303.77; 1294.99; 162.00; -5835; 0
-13415624.54; 12490.42; -382.45; 744.79; -1108; 0
-544792484.46; 57968.95; 1944.44; 855.21; -9093; -1
-406437971.20; 105288.33; -1126.88; 565.02; -3902; 0
758251418.06; 95098.30; -2594.77; 649.58; 8197; -2
303258328.40; 51231.84; -772.88; 644.02; 6010; 0
-1012924081.40; 100814.88; 2114.09; 157.21; -9841; -2
-14906163.16; 698.34; 4960.80; 312.81; -2634; -1
-118551035.05; 21680.00; 3506.11; 468.98; -4707; -1
359606213.84; 107306.97; 4615.29; 450.24; 3213; 1
-490835100.52; 87967.80; 5081.51; 445.39; -5275; -2
18682790.65; 81745.67; -2581.30; 61.29; 236; 0
-129258290.71; 14555.48; 1089.43; 454.81; -8262; 0
-1246106678.18; 121480.77; 5933.00; 935.38; -9780; -5
-394047885.28; 78186.28; 2133.31; 702.20; -4906; -1
-3012516.12; 2097.76; 582.41; 519.37; -1124; 0
-247419357.11; 34493.43; -935.94; 272.50; -7373; 0
321719194.70; 100897.80; 3454.84; 888.45; 3083; 1
218230655.35; 38115.64; 4699.87; 474.88; 5097; 2
-786642848.77; 84717.17; -1834.14; 595.30; -9491; 1
-405597613.10; 85626.39; 6387.58; 472.01; -4408; -2
986855113.96; 113303.81; 2063.87; 62.12; 8554; 1
32179518.57; 26950.15; -787.94; 76.94; 1230; 0
-411901155.01; 79136.69; 6963.05; 334.45; -4784; -3
-748388425.05; 101962.53; -1628.92; 690.93; -7459; 1
259247609.12; 45570.66; 1780.50; 581.20; 5475; 0
-214003267.71; 60995.45; 3192.69; 901.13; -3334; -1
694272411.43; 86977.40; -2823.17; 740.47; 8250; -2
-397758203.00; 112254.04; 107.03; 711.97; -3540; 0
-727471423.91; 114505.06; 5738.15; 390.41; -6050; -3
-52033606.76; 19735.83; 292.50; 288.76; -2598; 0
28037535.53; 21578.55; 1612.13; 274.68; 1209; 0
-195176837.09; 77435.21; 1744.03; 436.97; -2465; 0
480033314.75; 84541.10; -57.94; 421.78; 5682; 0
91927526.69; 14018.04; -1576.91; 576.39; 7389; -1
-432533121.73; 49359.45; -999.31; 11.54; -8944; 0
-68489356.98; 67071.06; 3755.58; 562.62; -967; 0
19705271.67; 821.53; 5106.65; 439.43; 3324; 1
149370260.02; 26725.37; 5508.17; 867.43; 4634; 2
307843821.48; 102470.08; 6694.39; 66.04; 2820; 1
-38765917.69; 8885.58; 6771.09; 154.20; -2476; -1
712745712.06; 103722.92; 5778.65; 866.12; 6509; 3
320972521.98; 51087.34; 4415.43; 738.13; 5783; 2
-683276696.16; 72798.01; -2961.88; 922.90; -9784; 2
254079109.85; 56498.99; 2193.34; 829.25; 4329; 0
713078854.39; 106824.20; 3066.21; 372.17; 6489; 1
144537561.71; 76581.61; 3361.73; 70.89; 1808; 0
801790206.00; 76860.29; 4514.95; 656.15; 9853; 4
-66502097.40; 6252.90; 2319.17; 894.00; -7758; -1
-279560768.69; 72046.48; 5480.07; 539.38; -3606; -1
-329016016.74; 44377.09; -2687.27; 686.91; -7892; 2
-80650493.57; 14436.76; -736.99; 268.01; -5887; 0
248576018.24; 81779.75; 3290.76; 370.08; 2922; 0
107987466.93; 19751.21; 4542.93; 979.51; 4445; 2
242797691.44; 33604.26; -2247.21; 29.11; 7743; -1
-44519750.21; 58722.93; 3196.05; 919.37; -719; 0
232739599.06; 47282.75; 1174.38; 674.63; 4803; 0
120072075.32; 17440.22; 1095.14; 139.65; 6478; 0
-85915743.85; 13416.69; -219.19; 390.34; -6510; 0
280044644.19; 88962.21; -2847.62; 85.24; 3252; 0
-436936338.99; 106197.30; 6444.19; 225.43; -3879; -2
-20353457.14; 18361.84; 1495.19; 284.33; -1025; 0
777001281.29; 78809.93; 1334.61; 81.17; 9695; 1
-17050231.28; 12671.18; -1720.49; 101.41; -1557; 0
523869241.15; 87820.41; 6349.86; 444.66; 5563; 3
-47630028.49; 2097.51; 4983.97; 117.37; -6726; -3
-300901582.65; 96015.23; -369.46; 924.67; -3146; 0
-95074206.36; 6531.56; 5232.14; 201.60; -8082; -4
-770665.34; 2075.74; -2285.73; 542.80; 3670; 0
73813846.70; 48283.23; 3734.98; 98.63; 1419; 0
-1040821664.53; 111353.38; -1411.30; 668.23; -9467; 1
-304986170.84; 34864.67; 491.94; 110.12; -8626; 0
-76906534.19; 52466.75; 3141.73; 705.57; -1383; 0
-737287969.41; 93828.67; -252.33; 422.88; -7879; 0
22937941.85; 28972.36; 5263.38; 522.37; 670; 0
266428507.23; 32003.23; -739.62; 509.43; 8522; 0
342058828.45; 91041.27; -1238.48; 130.29; 3809; 0
-91803423.94; 14839.42; -393.56; 742.04; -6355; 0
-642906.36; 46845.27; 6730.26; 401.17; -12; 0
575828782.26; 79327.23; -2713.50; 733.33; 7516; -2
130709255.44; 23447.22; -531.85; 594.97; 5704; 0
777094732.95; 122398.74; 6451.32; 353.82; 6031; 3
219963951.09; 24711.12; 5992.95; 898.98; 7164; 4
675217508.73; 91221.22; 296.47; 614.34; 7378; 0
404127027.46; 121146.98; 4788.52; 186.64; 3209; 1
-295655429.57; 40070.85; 2494.00; 80.49; -6946; -1
488159545.83; 60345.82; -1246.60; 625.10; 8260; -1
-101746008.23; 22171.56; -2476.24; 74.34; -5166; 1
-121662115.46; 15523.57; 197.08; 869.63; -7739; 0
-102777272.08; 20119.19; 1024.04; 753.52; -4861; 0
30786710.83; 6105.49; 5813.49; 560.18; 2583; 1
80159967.69; 102841.01; -856.32; 499.00; 786; 0
466536059.93; 50045.11; -1523.41; 561.70; 9615; -1
12938404.34; 31069.74; 2624.02; 159.73; 384; 0
155768201.11; 50122.85; 698.75; 903.53; 3065; 0
420691134.07; 53737.67; 1204.36; 777.86; 7657; 0
-358098477.78; 62668.02; -2513.73; 67.93; -5953; 1
-233432748.16; 31450.91; 5281.23; 591.76; -6355; -3
-433494205.28; 67305.00; -521.11; 903.99; -6491; 0
-377696345.68; 118982.35; 202.36; 785.23; -3169; 0
610631086.22; 55824.38; 6130.88; 845.77; 9856; 6
-580020925.95; 67028.62; -1755.05; 38.54; -8886; 1
-613774594.62; 106739.73; -1677.32; 132.22; -5842; 0
229194507.00; 48540.79; 6003.36; 383.29; 4202; 2
179025108.51; 117840.02; -676.99; 514.56; 1528; 0
241480589.83; 22577.29; 3161.42; 639.01; 9382; 2
-104596962.83; 80393.74; 1643.09; 996.88; -1275; 0
229826521.22; 58083.22; 5299.71; 646.50; 3626; 1
321112419.50; 58924.56; 5685.59; 67.79; 4970; 2
60270733.28; 7797.80; 271.65; 779.56; 7469; 0
-363208104.01; 94988.88; -1474.95; 923.89; -3884; 0
82041269.93; 21844.44; 2919.00; 435.26; 3313; 0
21755404.23; 17911.07; 3068.11; 90.61; 1037; 0
262678615.81; 55354.43; 2940.87; 25.83; 4506; 1
127873582.75; 37710.75; -1434.56; 129.41; 3525; 0
-147043094.98; 15466.54; 6552.49; 756.13; -6678; -4
476923262.41; 114450.10; 665.34; 149.48; 4143; 0
-170816812.05; 44736.00; 5861.40; 243.90; -3376; -1
176949935.65; 65954.19; -2554.00; 571.17; 2791; 0
483876240.51; 69514.20; 2976.63; 637.26; 6675; 1
-71086014.02; 54618.11; 3222.42; 852.73; -1229; 0
514199341.66; 122973.82; 5447.59; 387.00; 4004; 2
50938681.21; 11205.22; -883.30; 248.48; 4935; 0
-8917656.43; 32036.76; 5590.48; 348.99; -237; 0
336250822.52; 60601.86; 5615.32; 322.41; 5078; 2
-670745253.79; 77896.57; 3633.18; 7.28; -8227; -2
694389411.20; 122632.92; 6315.90; 176.35; 5385; 3
95968913.49; 62428.46; 1043.04; 607.83; 1512; 0
-451324879.25; 42323.29; 6996.44; 528.68; -9151; -6
153100420.29; 30022.11; 6754.35; 262.02; 4163; 2
167389442.78; 70443.43; 5573.57; 286.25; 2202; 1
-15847368.68; 36890.01; -2736.20; 602.03; -464; 0
923804916.35; 90785.09; 2312.25; 117.76; 9923; 2
-464989414.15; 59027.42; 124.01; 653.06; -7861; 0
-802148070.96; 104003.35; 3021.07; 621.28; -7495; -2
-146738173.30; 38570.84; -437.22; 872.33; -3848; 0
35964557.55; 24663.46; 2336.96; 938.29; 1332; 0
-395335225.21; 61878.42; 6259.33; 210.68; -5802; -3
142630582.90; 63064.22; 411.79; 253.66; 2247; 0
25141549.76; 78914.65; 6600.82; 922.45; 294; 0
-99989393.73; 30491.85; 2345.39; 867.01; -3045; 0
35052162.68; 36893.18; 238.35; 206.59; 944; 0
4748886.81; 1565.67; -2660.64; 174.02; -4337; 1
433239335.49; 39101.66; 5011.91; 490.16; 9821; 4
-802927123.20; 89946.36; 1638.80; 164.34; -8767; -1
430003459.86; 89871.89; -1684.14; 413.70; 4876; 0
-3104981.57; 7295.22; -1819.06; 248.41; -567; 0
-554467665.80; 56095.09; 3409.92; 531.11; -9318; -3
774479859.63; 110943.44; -2609.43; 880.38; 7149; -1
-9153582.07; 14486.41; 135.92; 472.91; -626; 0
624957564.52; 110162.97; 6782.69; 304.86; 5344; 3
-385523410.08; 38905.37; 1671.77; 997.10; -9501; -1
239991837.43; 108633.64; 851.69; 992.53; 2192; 0
-233295476.47; 43733.57; -1269.89; 741.93; -5494; 0
-328190071.20; 44216.45; -2183.91; 323.03; -7808; 1
85854879.43; 73281.02; 6583.99; 87.20; 1075; 0
-90561839.44; 25284.48; 3649.02; 953.31; -3130; -1
-67087552.99; 122178.18; -2164.67; 122.34; -559; 0
-22553099.81; 100731.09; 4657.22; 302.44; -214; 0
415278797.77; 106322.52; 1710.46; 614.92; 3844; 0
215543539.78; 32597.64; 2575.92; 389.15; 6128; 1
106519503.86; 15435.04; 4655.40; 951.57; 5302; 2
-10051441.47; 52902.54; 2325.16; 16.90; -182; 0
-127616397.66; 23903.88; 2523.20; 563.85; -4829; -1
200463487.89; 55994.69; -633.33; 651.65; 3621; 0
-113721964.37; 30997.91; -2807.04; 821.07; -4034; 1
-88001004.21; 63626.24; -1169.88; 304.43; -1409; 0
-934523150.62; 103081.75; -1866.20; 611.86; -9233; 1
-917433527.55; 101646.90; 1354.51; 679.99; -8907; -1
-556660918.36; 66926.62; 6666.84; 968.34; -7564; -5
138570661.10; 112947.09; 5085.84; 352.05; 1174; 0
124446491.57; 19243.74; 667.70; 414.84; 6250; 0
-616232809.59; 79692.92; -566.99; 989.90; -7788; 0
464268.74; 2302.74; -2971.72; 955.85; -694; 0
948398934.00; 116427.23; 6295.20; 658.37; 7728; 4
-92525375.67; 84939.51; 1938.77; 859.19; -1065; 0
-592240942.16; 117966.32; 6011.27; 452.73; -4777; -2
430971753.10; 60611.72; 3019.13; 241.83; 6773; 2
-59581190.02; 7483.97; 466.55; 896.31; -7494; 0
58131223.39; 696.17; 6468.14; 846.57; 8114; 5
107556043.41; 37006.51; 1516.43; 94.66; 2792; 0
-147221810.32; 20482.55; 6067.83; 725.39; -5545; -3
236841722.45; 94914.50; 355.70; 707.79; 2486; 0
-77930871.76; 30582.56; 3182.99; 923.35; -2308; 0
225491231.36; 29757.89; 4579.13; 143.64; 6567; 3
669754029.74; 118000.12; 3928.52; 942.93; 5493; 2
732384556.03; 91918.30; -1242.98; 224.73; 8077; -1
35326164.76; 16835.51; 1033.06; 672.90; 1977; 0
-191803708.17; 55318.74; 4545.09; 437.59; -3204; -1
-35025847.82; 64735.57; -2633.00; 316.61; -564; 0
-129590473.94; 36555.41; 1739.64; 432.28; -3384; 0
-24391351.86; 12079.74; -2038.01; 668.56; -2429; 0
312321320.49; 98214.20; 2307.63; 179.84; 3107; 0
185327754.81; 21395.36; -2517.11; 886.70; 9817; -2
-61242212.85; 24005.77; -1760.15; 35.34; -2753; 0
739595550.84; 87176.04; 4687.77; 61.01; 8051; 3
-153210746.31; 13250.08; 2293.27; 561.77; -9857; -2
529432358.34; 104267.02; 5119.83; 70.28; 4840; 2
-973253937.39; 120061.08; -2347.74; 316.81; -8268; 1
-98312861.34; 20313.89; 2597.52; 498.30; -4291; -1
148073878.51; 26110.70; 3936.76; 399.76; 4928; 1
-85484889.05; 34986.28; -419.00; 384.96; -2473; 0
679627577.41; 84195.54; 503.81; 253.54; 8024; 0
791267818.14; 93779.22; 5726.29; 92.02; 7952; 4
455977241.74; 53356.10; 548.29; 34.85; 8459; 0
465641417.92; 68482.39; 1141.03; 760.96; 6688; 0
273781291.86; 104465.18; 2272.16; 286.59; 2565; 0
-12866240.49; 3271.83; -809.39; 423.35; -5225; 0
-458701210.66; 115069.55; 6023.70; 673.40; -3788; -2
-72143478.94; 109552.73; -1229.19; 116.46; -666; 0
580008017.86; 76566.38; 3778.27; 28.08; 7219; 2
-292438746.50; 58903.03; -775.67; 297.25; -5031; 0
-415417636.92; 90670.74; 1215.49; 37.64; -4521; 0
-56766096.25; 48812.53; 1736.09; 708.30; -1123; 0
96647019.77; 29003.24; -677.62; 326.43; 3412; 0
57803454.47; 67892.04; 2087.93; 901.39; 826; 0
597676966.59; 79137.05; -2186.24; 162.38; 7767; -1
-240977489.63; 69067.03; 1518.06; 829.84; -3414; 0
-431291049.98; 117173.26; -2711.73; 56.27; -3768; 1
420801825.09; 61068.79; 3333.08; 55.63; 6534; 2
441501370.81; 45832.72; 4757.55; 307.64; 8727; 4
-425428214.33; 92903.56; 5234.44; 149.24; -4335; -2
99542570.83; 38410.43; -460.53; 680.15; 2623; 0
1013976432.77; 107861.85; 272.56; 893.93; 9377; 0
94170929.37; 30819.48; -2488.87; 299.16; 3324; 0
120568637.73; 110574.13; 6029.97; 32.67; 1034; 0
-805607102.64; 88387.26; 4778.82; 112.52; -8647; -4
525258806.93; 111350.21; 2911.01; 355.20; 4597; 1
-637015742.01; 58108.01; 5868.66; 647.33; -9957; -5
38332828.13; 66523.66; 3682.98; 26.48; 546; 0
718812519.79; 82508.47; 4726.06; 5.19; 8240; 3
310834769.32; 45120.87; -917.97; 655.35; 7032; 0
651115366.78; 97558.58; 6337.28; 789.87; 6267; 3
-165808113.19; 61040.34; 3451.34; 933.33; -2571; 0
-222090575.97; 64473.21; 238.50; 1.81; -3432; 0
392426661.71; 38561.50; 6400.31; 200.39; 8728; 5
409543908.89; 35640.80; 6962.33; 465.26; 9613; 6
-167169714.72; 68063.01; -2403.26; 913.29; -2546; 0
81342207.22; 42513.26; 1960.33; 707.80; 1829; 0
-117663727.53; 22483.17; 3073.68; 709.57; -4604; -1
-93327093.75; 11651.33; 77.60; 480.45; -7957; 0
-610700399.74; 81249.81; 2499.56; 299.62; -7292; -1
-184014464.21; 46909.74; 2583.12; 385.60; -3718; 0
-334030129.15; 100321.44; 4160.93; 617.60; -3197; -1
-554973101.73; 59315.75; -2967.58; 627.32; -9849; 2
-323116495.45; 74598.15; 650.22; 232.92; -4294; 0
-125565315.72; 11277.48; 6477.80; 457.78; -7072; -4
-40895760.84; 40745.90; 6423.37; 956.87; -867; 0
-598593206.14; 90866.38; 49.96; 988.94; -6584; 0
340004593.40; 53002.46; -1642.25; 312.69; 6620; -1
69475374.53; 54241.90; -1807.65; 234.99; 1325; 0
63323159.21; 11352.60; -2487.53; 145.00; 7143; -1
-230626026.15; 52821.56; 6298.16; 929.59; -3901; -2
-39657093.99; 77040.96; 3562.89; 322.95; -492; 0
190023416.34; 46773.72; -403.92; 273.39; 4098; 0
171257883.56; 43822.97; -2326.02; 92.70; 4127; 0
-627750838.82; 76725.09; -412.08; 805.73; -8226; 0
-831902401.48; 104986.62; 745.77; 389.40; -7868; 0
-39397662.32; 76402.97; 3673.58; 513.08; -492; 0
-458930340.69; 115126.80; -2946.33; 759.22; -4091; 1
-614472022.73; 87258.37; -2080.66; 368.05; -7214; 1
782622225.02; 118303.12; 3543.72; 35.47; 6423; 2
410709828.17; 114734.94; 4726.90; 399.33; 3438; 1
-444650216.72; 57929.61; 4233.15; 818.70; -7153; -3
26145297.07; 55803.13; 6152.55; 531.80; 422; 0
-1114359191.15; 115424.82; 232.59; 454.27; -9635; 0
497371378.17; 50933.34; -1116.49; 563.33; 9984; -1
-359257815.04; 90487.38; -1912.97; 876.51; -4056; 0
-495528161.27; 55924.21; 6800.87; 697.48; -7900; -5
-149205382.66; 103621.55; -2465.36; 659.57; -1475; 0
-611425974.32; 91507.62; 6571.62; 181.92; -6234; -4
-40337699.01; 4468.96; 197.05; 856.83; -8645; 0
5376594.92; 5632.13; -1540.35; 442.32; 1314; 0
17778487.15; 33216.70; -415.07; 474.15; 542; 0
33638159.08; 40835.78; 4498.67; 604.41; 742; 0
-529972638.67; 108083.70; -1876.76; 93.83; -4990; 0
154606541.22; 98808.73; 808.88; 750.63; 1552; 0
1087230694.94; 112661.54; 156.83; 608.33; 9637; 0
-756318149.38; 79511.07; 845.73; 989.12; -9412; 0
-804898963.72; 94085.95; 441.23; 969.08; -8515; 0
-318104629.07; 31343.53; 2229.51; 647.62; -9475; -2
-695760.20; 113251.59; 2708.44; 206.67; -6; 0
107134869.09; 41880.48; -2244.94; 677.76; 2703; 0
240803987.78; 122276.41; 5878.99; 223.41; 1879; 1
46972150.26; 2987.00; 6290.54; 147.88; 5063; 3
260799372.84; 79916.76; 4484.34; 975.40; 3090; 1
186805472.13; 56282.80; 4506.48; 39.80; 3073; 1
611200971.12; 94374.67; 5331.85; 579.27; 6130; 3
247092869.17; 36689.60; 6156.40; 875.84; 5767; 3
688299555.45; 72195.74; 135.02; 717.98; 9516; 0
660835159.05; 106301.00; 3838.19; 610.87; 6000; 2
460290524.17; 71765.09; 3977.97; 253.62; 6077; 2
40323357.23; 16981.14; 3676.32; 73.01; 1952; 0
-698576047.03; 82679.03; 6074.12; 331.37; -7871; -4
-253149996.23; 46782.79; 5716.18; 479.93; -4822; -2
68250141.29; 22385.71; 2111.83; 304.64; 2786; 0
-328321207.34; 71228.68; -1639.61; 653.44; -4718; 0
808665545.72; 92180.14; 3395.51; 319.97; 8461; 2
899221579.35; 93196.81; 3775.22; 478.00; 9273; 3
-784720372.74; 110286.95; 4522.17; 717.03; -6835; -3
-1133062846.57; 115334.27; -1263.71; 544.06; -9933; 1
327575783.27; 63996.75; 4923.05; 43.49; 4753; 2
420980754.97; 103050.54; 1879.86; 818.19; 4012; 0
-165106563.88; 55029.81; -2381.04; 860.67; -3136; 0
768007847.56; 119325.26; -2517.98; 190.41; 6575; -1
-33615746.15; 8642.11; -174.67; 453.31; -3970; 0
-182492114.22; 69259.04; 2701.58; 42.41; -2536; 0
-185153615.16; 63606.61; 6474.25; 577.72; -2642; -1
-702581722.24; 67379.63; 5844.10; 457.25; -9595; -5
-458394006.04; 60941.08; 1826.83; 963.75; -7303; -1
-302286190.24; 48566.29; -2167.79; 265.08; -6515; 1
706945351.92; 80537.39; -1381.04; 76.80; 8931; -1
77145228.73; 88658.03; 6700.72; 778.94; 809; 0
351161838.56; 100892.46; 834.61; 474.91; 3452; 0
273318996.85; 32069.66; 6447.67; 266.21; 7096; 4
-278576357.88; 34110.68; 4297.75; 702.75; -7253; -3
108012237.63; 32998.86; 3065.33; 167.21; 2995; 0
85619894.78; 9795.73; 3222.34; 96.63; 6577; 2
-678515448.39; 73402.80; 1233.15; 518.29; -9091; -1
2982508.80; 51309.35; 4964.40; 898.43; 53; 0
162421903.01; 114355.32; 2410.97; 595.71; 1391; 0
-918223483.30; 120931.95; -2237.09; 215.00; -7736; 1
-267939353.01; 42412.63; 2717.80; 543.55; -5937; -1
938113469.55; 112834.24; -1300.13; 677.25; 8411; -1
193815397.09; 27601.92; 3964.11; 239.37; 6140; 2
-56137114.38; 1249.97; 4804.51; 618.26; -9272; -4
-452142112.91; 105314.36; 4749.44; 781.07; -4108; -1
-505283288.91; 74990.94; -520.30; 709.62; -6785; 0
-20443441.66; 37187.63; 3374.75; 570.89; -504; 0
641172892.83; 123037.12; 5.08; 839.79; 5211; 0
