a;b;c;t
313.09; 79.42; 123.18; 546.71
10.91; 95.16; -158.71; 757.60
195.02; 233.66; 2188.31; 1714.01
225.94; 156.16; 450.48; 1267.49
379.60; 108.99; 1602.37; 880.49
259.68; 114.31; 266.65; 989.49
363.84; 184.43; 2201.70; 1444.06
90.77; 110.76; 1353.16; 865.45
307.39; 130.29; 85.89; 822.52
276.30; 235.87; 246.05; 2178.78
251.61; 105.03; 1890.96; 918.81
254.66; 187.23; 1919.50; 1553.33
266.49; 103.74; 722.60; 828.00
167.91; 226.26; 528.10; 1687.65
250.10; 127.68; 1187.17; 1076.19
300.76; 142.03; 2864.81; 1036.16
361.23; 150.28; 1372.33; 1246.33
244.50; 227.12; 633.40; 2017.99
100.95; 42.20; 1813.85; 349.93
186.97; 43.72; 200.00; 315.54
302.44; 200.96; 263.17; 1582.82
299.34; 101.83; 1315.23; 789.33
319.62; 165.08; 111.35; 1212.85
141.82; 145.90; 1736.93; 1155.86
262.27; 232.67; 258.17; 2075.30
243.85; 62.31; 20.24; 568.94
297.64; 219.52; 971.21; 1678.89
181.82; 193.98; -315.93; 1524.08
162.06; 236.79; 1405.41; 1932.93
236.14; 161.58; 2322.27; 1452.08
46.03; 208.24; 578.72; 1822.80
200.76; 140.73; 2125.39; 1127.41
114.67; 126.93; 2567.10; 1010.28
281.27; 76.08; 2055.62; 574.05
33.62; 182.45; 138.89; 1579.54
295.42; 184.67; 2475.90; 1313.00
300.41; 108.64; 130.21; 963.91
125.78; 77.15; 615.95; 631.85
393.41; 154.53; -354.00; 1299.53
9.26; 86.32; 1813.73; 608.05
88.61; 72.07; 1447.21; 611.26
124.44; 76.74; 2643.94; 680.57
46.60; 174.39; 2756.25; 1334.72
259.40; 98.28; 1373.41; 782.49
149.43; 59.21; 1765.89; -3194.23
345.97; 129.39; -292.05; 997.79
116.31; 167.36; -320.64; 1292.79
284.26; 146.58; 101.83; 1289.49
167.02; 202.82; 1090.24; 1856.97
345.53; 200.00; 1692.58; 1454.49
21.00; 226.31; 1828.94; -1763.78
384.11; 173.64; 2255.80; 1391.87
304.96; 203.60; -233.27; 1592.90
38.13; 192.37; -460.88; 1465.23
317.61; 201.09; 2939.32; 1698.83
40.61; 118.93; 595.35; 799.82
287.06; 193.64; 164.32; 1809.70
114.22; 139.59; 2336.09; 1102.91
14.75; 131.15; 633.91; 1162.73
253.35; 61.40; 149.19; 560.96
118.92; 164.57; -141.61; 1506.92
43.97; 58.84; 2951.08; 443.03
352.53; 73.83; -444.22; 597.14
231.97; 76.12; 2157.90; 590.30
396.31; 129.30; 395.87; 947.57
322.40; 148.64; 2197.18; 1243.15
291.58; 102.77; 2317.72; 744.44
17.53; 54.32; 2715.35; 359.37
375.72; 124.11; 1508.81; 974.94
121.96; 249.56; 463.34; 1931.74
143.96; 183.50; 2346.20; -2265.16
345.06; 131.83; -253.65; 995.02
86.91; 193.59; 599.61; 1598.28
300.88; 229.00; 334.13; 1881.77
27.56; 226.77; 2205.83; 1673.40
88.80; 79.23; -269.56; 620.00
295.37; 83.56; 2720.29; 665.22
303.04; 65.00; 1194.42; 547.16
52.21; 83.56; 1430.94; 649.71
336.89; 169.63; 2380.42; 1299.77
245.27; 58.59; 682.65; 538.03
380.90; 170.70; 2091.48; 1250.21
279.00; 168.67; 284.13; 1245.92
222.18; 232.23; 1982.31; 1922.84
117.58; 162.10; 2448.43; 1224.52
291.50; 134.05; 2709.79; 938.15
227.37; 195.80; 1710.46; 1800.59
164.07; 240.93; 946.86; 1774.57
343.06; 233.03; 710.65; 1982.60
26.59; 45.93; -170.77; 365.82
265.10; 111.61; 2472.65; 775.57
316.06; 237.59; 1423.07; 1795.08
216.22; 108.28; 2838.10; 739.33
106.59; 213.05; 677.14; 1368.02
313.66; 164.94; 1176.03; 1140.78
333.95; 203.65; 2559.16; 1638.30
93.67; 88.70; 718.34; 826.94
50.73; 180.55; 1717.58; -2445.25
108.67; 245.67; 261.95; 2067.65
58.38; 97.35; 204.14; 617.82
119.66; 239.17; 2083.83; 2278.56
17.69; 100.88; 1742.51; 886.89
148.48; 190.82; 174.97; 1482.62
166.16; 147.18; 2530.18; 1423.68
256.78; 60.93; -234.09; 468.07
158.92; 160.11; -343.74; 1276.16
314.85; 100.05; -408.97; 742.30
321.13; 211.29; 676.55; 1779.46
88.71; 45.84; 1313.97; 343.66
195.51; 187.38; 2610.98; 1330.16
290.42; 163.55; 426.39; 1287.18
281.38; 103.11; 1723.19; 793.91
325.56; 133.89; -248.68; 993.45
77.30; 136.77; 2649.92; 1161.76
188.28; 152.51; 2279.24; 1195.91
62.15; 234.99; -59.59; 2126.18
99.21; 192.71; 261.49; 1910.64
251.94; 40.86; -388.82; 326.55
282.66; 184.25; 401.99; 1486.86
66.49; 129.82; 759.00; 997.05
71.70; 218.62; -307.29; 1707.93
176.17; 225.63; 509.78; 1778.69
329.61; 207.92; 1546.33; 2039.79
259.71; 116.94; 2851.07; 957.29
43.24; 88.53; 1670.29; 708.44
262.20; 47.29; 697.82; 350.61
20.68; 62.15; -246.69; 437.63
129.07; 101.72; 2276.57; 863.25
353.84; 42.05; 1934.42; 278.82
0.40; 71.73; 1438.05; 670.92
62.78; 245.93; -7.68; 1937.49
348.58; 145.50; 1751.04; 1264.01
79.69; 220.21; 1835.37; 1679.15
380.32; 106.63; 2961.43; 732.95
291.73; 224.63; 6.63; 1798.58
243.43; 120.16; 14.45; 978.66
160.88; 230.04; 673.05; 2246.54
295.41; 139.98; 1738.31; 1005.53
350.77; 105.66; 1186.38; 776.75
92.64; 63.76; 131.24; 556.97
303.12; 240.11; 758.20; 2096.87
136.37; 117.19; 290.23; 873.07
367.65; 162.05; 16.55; 1287.28
204.16; 173.16; 2653.73; 1478.52
309.11; 130.79; 707.58; 1013.30
360.38; 86.40; 790.41; 748.87
222.86; 60.92; 1413.12; 471.85
315.18; 120.77; 2263.05; 802.04
373.84; 113.50; 621.16; 1010.92
124.47; 218.44; 1928.27; 1793.37
79.38; 188.53; 1497.62; 1553.49
385.18; 243.68; 2912.66; 1877.50
96.21; 224.70; 949.39; 1692.06
8.70; 178.18; 2329.15; 1382.27
106.36; 117.46; 2292.31; 816.82
174.76; 106.98; 2549.72; 830.61
73.94; 134.52; 2286.85; 904.20
178.65; 65.98; 147.53; 530.95
201.23; 123.41; -195.33; 1109.63
284.18; 65.76; 2212.16; 592.99
111.35; 69.86; 780.53; 568.28
157.27; 132.31; -117.75; 1095.90
243.43; 234.02; -464.61; 1900.35
165.81; 67.43; 517.85; 571.82
82.47; 143.34; 853.00; 1145.41
153.40; 213.66; 329.17; 1622.43
231.96; 89.19; -421.09; 652.97
339.32; 106.17; 1371.03; 916.83
146.15; 194.68; 1418.13; 1441.86
313.51; 58.01; 2754.32; -2666.47
67.75; 239.00; -85.78; 1798.03
241.68; 173.20; 2480.87; 1025.21
191.79; 242.55; -34.66; 2186.34
113.58; 96.91; 2091.02; 752.80
159.20; 196.81; 1734.85; 1484.15
167.24; 62.94; 24.73; 527.37
176.91; 105.46; 117.96; 799.68
365.29; 47.96; 110.45; 349.10
20.48; 165.24; 2916.93; 1402.63
273.78; 78.36; 849.41; 570.28
262.82; 112.17; 1473.57; 836.57
3.93; 126.74; 1161.34; 1091.00
156.09; 66.54; 1899.52; 589.97
397.53; 204.94; 2202.69; 1310.88
128.77; 55.95; 2651.88; 521.46
175.73; 62.10; 2794.48; 610.50
198.54; 92.29; 2837.35; 707.20
293.48; 100.41; 2135.66; 921.11
6.58; 80.25; 1347.54; 600.34
150.84; 181.66; 943.20; 1232.49
377.88; 138.87; -56.39; 1143.22
10.18; 107.62; -426.55; 1030.00
157.86; 110.44; 1878.30; 957.14
63.02; 86.56; 964.66; 737.15
394.93; 113.62; 201.02; 908.34
364.73; 207.76; -246.36; 1551.02
225.62; 132.32; 1996.06; 1198.40
219.10; 232.25; 160.15; 1788.72
266.68; 76.39; 703.93; 3630.68
380.78; 151.61; 161.45; 1179.99
159.37; 198.80; 1354.25; 1658.92
280.09; 54.26; 1550.44; 446.30
256.83; 230.98; 1598.31; 1222.02
82.62; 124.66; 490.87; 821.65
315.52; 190.87; 2135.79; 1896.94
214.57; 114.70; -160.43; 1047.21
218.70; 81.64; -217.13; 580.00
274.41; 155.29; 1864.95; 1422.05
253.68; 83.32; 2398.19; 664.91
228.25; 222.87; 1106.23; 1824.98
310.23; 42.49; 1556.95; 274.45
268.87; 210.25; -481.24; 1388.74
205.33; 144.82; -53.01; 1208.39
1.78; 61.46; 1196.43; 466.66
170.79; 61.91; 2708.07; 443.60
85.06; 155.06; 2604.79; 1155.28
60.92; 193.72; 434.31; 1591.47
120.43; 221.05; 2386.01; 1690.06
71.54; 220.48; 1819.62; 1968.94
38.66; 145.65; 730.39; 1114.73
302.83; 135.74; 205.89; 1346.91
259.04; 175.16; 1716.06; 1311.18
137.55; 168.09; 2175.03; 1308.82
151.08; 42.09; 2770.36; 390.08
226.07; 92.22; 1529.20; 703.17
199.70; 248.38; 2365.49; 1961.87
177.92; 101.14; -242.18; 739.55
224.65; 134.55; 1131.77; 958.89
77.08; 224.91; 2676.69; 5975.77
183.61; 100.16; 2935.56; 701.55
355.92; 134.59; 1952.98; 916.10
379.12; 238.72; 1734.19; 1977.02
117.26; 167.03; 1274.09; 1471.58
377.65; 157.74; 1880.66; 1283.65
243.11; 112.00; 1432.38; 951.94
182.01; 65.46; 2044.97; 563.42
355.79; 62.48; 2941.02; 497.16
49.86; 68.64; -277.23; 544.89
198.93; 184.44; 706.45; 1580.90
270.93; 93.16; 2591.43; 702.71
323.15; 166.30; 2628.86; 1534.95
399.16; 100.58; 2573.89; 791.48
208.06; 95.92; 2331.05; 859.21
169.66; 177.68; 312.59; 1371.01
335.29; 143.71; 818.41; 1240.62
19.87; 206.53; 336.98; 1764.29
396.23; 100.04; -31.66; 898.87
335.45; 143.02; 1348.97; 1123.52
202.62; 48.68; 748.88; 401.44
349.25; 44.22; 1414.63; 348.33
73.73; 193.07; 295.94; 1551.91
255.81; 246.62; 1248.17; 1923.47
15.66; 110.50; 547.17; 1019.15
267.53; 181.01; 1072.07; 1210.19
52.93; 101.24; 769.13; 866.11
75.34; 65.72; 628.71; 580.93
189.50; 44.17; 881.23; 361.76
340.97; 159.46; 2424.16; 1168.16
369.02; 79.41; -97.85; 660.53
98.82; 118.73; 314.94; 908.77
116.97; 135.26; 1121.78; 958.47
398.31; 142.35; 812.51; 1193.14
125.53; 170.82; 492.98; 1574.32
247.88; 56.65; 1388.02; 465.52
161.98; 166.59; 2596.37; 1388.58
193.47; 224.69; 1897.74; 1929.71
210.20; 146.58; -115.37; 1176.41
379.19; 165.49; 1522.95; 1483.92
273.88; 58.73; 51.62; 460.76
10.03; 141.98; 1396.01; 1446.04
25.06; 185.66; 319.63; 1589.55
335.35; 61.86; 2189.91; 643.31
324.15; 56.93; -233.51; 438.54
363.59; 228.40; 1337.64; 1623.98
115.89; 219.53; 635.70; 2038.26
267.27; 212.58; 311.36; 1797.34
0.59; 227.28; 968.46; 1968.46
385.86; 76.29; 2432.02; 553.12
149.30; 41.88; 1231.91; 305.81
368.63; 242.87; 22.12; 1904.65
251.27; 152.53; 2479.95; 1176.74
100.92; 41.68; 2320.22; 391.03
341.17; 193.01; 1213.88; 1309.42
5.34; 109.26; -168.08; 852.92
200.08; 173.87; -177.28; 1480.71
82.06; 195.06; 2838.29; 1721.86
256.18; 147.46; 567.17; 1216.96
214.99; 214.93; 1784.80; 1697.86
281.74; 202.06; 1103.15; 1696.12
347.67; 159.72; -15.36; 1004.10
144.21; 159.60; 529.26; 437.24
392.38; 97.34; -299.22; 778.97
73.23; 249.29; 2571.90; 2167.15
322.17; 169.88; 2946.98; 1508.85
67.00; 194.44; 2131.31; 1491.95
324.35; 93.06; 176.44; 649.53
293.57; 154.77; -96.74; 1154.56
138.50; 42.74; 83.01; 394.78
78.86; 41.53; -283.84; 312.19
314.20; 228.40; -322.12; 1890.48
323.29; 96.22; 1884.18; 597.10
5.10; 66.15; 2141.19; 2447.95
98.54; 210.97; 525.23; 1548.44
336.87; 248.59; 919.13; 2005.10
73.94; 234.86; 2615.89; 1910.30
2.51; 82.13; 922.14; 629.47
65.92; 226.69; 2098.80; 1789.51
265.71; 180.67; 1017.76; 1483.20
128.43; 131.85; 1656.75; 870.66
306.99; 187.57; 2767.74; 1703.85
369.89; 166.82; 2532.91; 1160.91
94.82; 110.78; 230.63; 975.74
330.84; 118.38; 1462.26; 963.09
363.96; 124.77; 920.93; 856.82
177.23; 75.08; 1537.08; 633.82
342.16; 190.24; 739.71; 1486.20
256.80; 180.34; 905.92; 1718.33
193.08; 95.04; 2323.04; 796.69
296.94; 190.07; 1347.86; 1479.00
173.31; 244.38; 2964.18; 1654.92
333.29; 78.76; 1307.52; 670.60
162.70; 138.88; 1103.30; 1076.31
55.01; 139.65; 1648.23; 972.73
389.21; 145.15; 661.88; 938.31
160.22; 128.17; 128.62; 945.80
43.29; 54.36; 2855.52; 441.88
26.13; 111.22; 2013.61; 812.66
233.21; 64.51; 2528.91; 489.52
281.47; 152.17; 1100.83; 1265.32
101.94; 185.39; -264.85; 1773.08
274.63; 142.16; 2290.36; 1186.42
305.16; 50.61; -369.24; 366.44
147.04; 166.19; -389.48; 1530.53
137.48; 85.04; 1842.17; 667.52
287.35; 107.86; -451.21; 876.10
379.61; 238.46; 1999.02; 1919.06
82.43; 247.20; 946.04; 2254.19
240.24; 218.57; 337.65; 1777.98
318.40; 183.42; 2029.77; 1338.54
47.48; 219.59; -378.62; 1992.72
362.67; 229.62; 1036.85; 4503.54
161.34; 149.17; 856.04; 1253.11
345.62; 230.02; 2505.89; 1827.97
193.80; 46.20; 2687.82; 336.73
316.35; 236.35; 2802.00; 1950.16
109.96; 82.39; 2851.33; 640.22
319.33; 237.30; 773.89; 1708.76
272.37; 160.25; 1460.82; 1310.98
278.26; 40.58; 2320.63; 231.05
76.15; 240.02; -243.57; 1944.31
154.28; 127.86; -345.39; 1066.40
297.22; 149.13; 2508.06; 1002.07
394.60; 204.24; 2948.52; 1466.26
350.11; 237.76; 1819.88; 1859.47
38.16; 84.52; 2555.82; 674.58
44.53; 159.90; 904.74; 1211.54
66.20; 159.75; 710.70; 1164.87
280.00; 189.42; 1631.59; 1424.20
190.04; 209.74; 2602.30; 1668.80
177.94; 192.89; 958.52; 1803.25
323.83; 149.38; 2389.79; 1310.48
128.12; 144.42; 2848.43; 1174.99
328.83; 61.06; 2134.54; 496.41
225.87; 41.77; 2734.91; -1909.57
67.24; 165.23; 893.63; 1477.13
354.53; 142.06; 1125.43; 1091.37
305.75; 205.71; 409.96; 115.22
101.97; 139.87; -246.61; 1115.55
191.69; 197.02; 373.74; 1468.73
103.80; 201.84; 2131.92; 1386.10
77.13; 225.25; -98.14; 1791.69
250.72; 74.33; 1425.07; 551.68
105.15; 96.21; 1140.47; 695.21
118.34; 218.92; -339.06; 1712.96
36.20; 162.43; 2926.94; 1393.98
143.52; 91.87; 1139.20; 653.96
289.33; 185.50; -186.84; 1328.79
271.43; 100.81; 1636.39; 898.45
2.35; 192.35; 2809.77; 1925.45
124.62; 151.42; 2097.71; 1213.73
162.74; 74.26; 2805.92; 645.65
242.36; 62.85; 1453.35; 476.30
183.24; 87.29; 2488.79; 730.30
293.94; 181.67; 633.00; 1365.82
151.86; 221.48; 2963.39; 1500.39
55.68; 209.10; -431.59; 1707.68
337.86; 212.70; 1387.84; 1611.63
176.19; 82.85; 164.74; 665.29
129.95; 50.53; 1039.87; 428.62
151.78; 137.78; -406.04; 1048.26
389.07; 60.85; 692.66; 482.35
8.75; 86.76; -304.11; 658.19
7.58; 207.23; 2902.02; 1545.97
51.75; 71.57; 504.55; 616.54
202.79; 64.04; 1284.07; 582.88
163.84; 205.42; 2487.04; 2329.05
35.73; 188.58; 2771.29; 1782.44
369.72; 180.56; 1803.20; 1327.69
154.50; 184.41; -125.59; 1628.42
381.86; 86.55; -91.36; 605.32
304.77; 112.50; -262.39; 915.97
265.84; 136.41; 1426.44; 1380.17
37.27; 153.33; 2381.24; 1198.35
94.59; 177.57; 1815.78; 1459.90
223.29; 231.72; 557.44; 1948.44
197.65; 53.23; 2456.43; -2012.97
372.02; 190.50; 2074.55; 1800.76
329.47; 161.50; 2487.86; 1585.13
256.54; 155.75; -112.26; 1446.97
181.03; 248.84; 832.01; 1978.81
48.66; 48.82; -288.39; 432.14
249.33; 43.91; 1713.01; 388.24
45.67; 86.84; 401.17; 540.47
327.49; 188.18; 2948.23; 1473.89
216.89; 94.25; 2390.60; 787.10
232.28; 65.80; 1837.56; 473.24
279.93; 180.32; 2317.03; 1377.38
27.88; 195.47; 2912.54; 1911.96
10.72; 58.96; -461.84; 468.46
132.05; 233.06; 1399.04; 3168.16
247.35; 198.39; 1131.85; 1465.19
290.12; 44.28; 678.56; -1009.68
287.46; 73.04; 31.60; 625.89
83.98; 40.21; 2064.67; 281.69
208.55; 144.38; 2190.69; 1354.47
116.37; 110.02; 1911.47; 786.81
132.96; 78.09; 1938.68; 503.26
252.85; 75.77; -438.69; 536.22
188.85; 80.11; 2444.10; 715.56
80.19; 68.05; 2075.43; 538.32
230.13; 70.98; 2521.89; 580.60
82.53; 44.37; 2189.89; 363.51
300.57; 158.39; 1881.25; 1234.00
94.08; 162.17; 291.07; 1235.30
201.40; 41.32; 314.25; 266.30
318.64; 125.88; 2920.55; 1089.42
96.48; 64.14; 1784.19; 421.77
341.97; 211.66; 2816.87; 1694.75
81.73; 124.62; 1964.68; 1033.27
75.51; 149.24; 478.54; -125.79
73.54; 212.22; 2377.19; 1810.28
105.39; 156.71; 1804.26; 1143.21
216.22; 139.95; 1420.07; 1205.34
293.60; 111.57; -337.60; 891.14
171.29; 194.01; 2064.81; 1399.90
166.12; 188.12; 2389.50; 1418.86
30.41; 77.46; 832.85; 696.66
302.73; 71.96; 1566.71; 599.06
21.17; 158.28; 443.29; 1398.46
261.27; 184.20; 1101.05; 1319.91
173.41; 135.90; 2494.80; 1125.58
183.12; 246.32; 1665.06; 2234.81
372.42; 122.29; 720.09; 944.29
119.34; 213.60; 1850.29; 1824.49
252.03; 97.61; 1934.43; 791.07
190.37; 48.53; 2623.41; 381.44
329.81; 115.71; 533.09; 906.24
102.50; 161.73; 1997.79; 1483.06
163.10; 222.37; 1335.22; 1787.02
207.38; 128.67; 1471.32; -1884.73
298.33; 123.35; 2162.99; 1073.85
168.29; 49.28; 626.58; 323.86
162.37; 106.15; -214.86; 890.13
381.67; 73.80; 748.21; 510.21
13.69; 72.35; 2404.16; 3677.91
172.41; 74.12; 148.00; 591.15
304.03; 228.98; 307.96; 2295.97
190.72; 185.27; -256.09; 1635.45
148.90; 139.97; 1168.91; 1124.54
91.85; 77.80; 1024.15; 604.27
291.16; 108.60; 250.49; 788.36
324.72; 205.40; 2361.43; 1598.92
97.89; 171.96; 762.25; 1340.80
312.21; 198.19; 2256.96; 1754.78
284.24; 237.38; 1950.54; 1796.32
92.14; 99.54; 1336.19; 812.33
170.93; 221.84; 2306.22; 6075.05
144.86; 236.15; 1886.91; 1705.71
230.15; 241.25; 1849.63; 1911.59
77.05; 227.81; 569.09; 1969.85
386.00; 131.90; 1964.54; 1112.54
160.86; 62.33; -197.19; 506.00
332.24; 145.02; 2420.30; 5046.67
69.50; 237.04; 2561.10; 1962.23
62.54; 165.03; 800.49; 1568.00
113.89; 63.01; 2855.92; 476.77
335.25; 185.53; -110.71; 1717.80
150.96; 227.17; 1832.62; 1681.02
212.19; 192.23; -268.73; 1522.54
369.22; 61.03; 2024.52; 570.84
387.09; 115.12; 1100.01; 898.58
139.26; 126.54; -360.28; 1009.11
134.47; 187.11; 2864.71; 1322.08
189.27; 52.68; -21.26; 416.04
33.09; 109.27; 2980.56; 956.50
376.35; 127.02; 1133.94; 1053.50
110.44; 98.45; 2931.10; 593.81
375.84; 106.20; 2456.45; 948.82
139.98; 229.81; 2672.82; 1830.36
272.52; 111.47; 2515.49; 785.84
274.37; 225.47; 1753.60; 1661.16
33.61; 116.53; 597.75; 975.79
119.65; 105.03; -309.46; 845.05
100.79; 69.65; 2244.37; 617.78
311.84; 197.71; 578.00; 1736.66
113.07; 192.19; 678.35; 1720.12
317.67; 245.57; 310.50; 1852.75
314.76; 89.27; 2567.06; 583.16
67.68; 56.05; 2038.37; 434.91
6.89; 120.48; 2248.93; 851.90
248.08; 69.80; 14.05; 511.59
92.43; 113.72; 2801.41; 971.05
52.29; 219.72; 564.76; 1946.87
169.85; 71.77; 1105.00; 2448.59
355.67; 100.23; 868.09; 905.74
41.22; 139.16; 2263.98; 1059.42
351.75; 70.99; 12.24; 661.43
131.94; 165.72; 1375.28; 1552.30
274.61; 114.59; 604.04; 1154.56
332.47; 244.44; 2954.41; 2009.33
136.08; 213.39; 128.68; 1768.67
4.85; 220.10; 733.80; 1554.70
26.37; 98.26; 1188.18; 863.11
275.30; 210.84; -268.56; 1634.85
239.82; 197.93; -323.13; 1568.78
76.15; 203.37; 776.39; 1837.66
30.18; 81.98; 2346.46; 664.76
260.71; 130.65; 2934.28; 1096.26
47.30; 198.20; 2558.72; 1481.94
216.02; 106.76; 467.35; 888.17
307.58; 186.69; 2871.95; 1671.22
61.31; 45.08; -266.94; 341.69
319.45; 244.53; 1603.25; 2295.23
141.53; 211.36; 783.46; 1248.92
100.34; 233.85; 2987.29; 2207.42
42.32; 73.33; 481.57; 560.17
338.99; 221.25; 518.68; 1595.99
302.03; 49.91; 1217.75; 430.16
378.53; 142.39; 252.23; 1006.53
378.68; 145.80; 881.43; 1347.93
279.90; 86.91; -102.05; 724.59
312.20; 235.78; 98.27; 1919.44
149.93; 202.01; 2135.33; 1837.44
364.54; 249.16; 150.45; 2156.00
357.51; 115.63; -495.99; 786.17
75.03; 113.01; 2274.96; 976.09
289.41; 160.84; 602.75; 1200.13
207.33; 69.32; 1682.89; 497.76
202.48; 41.06; 683.61; 313.18
307.97; 240.77; 965.89; 2188.98
240.03; 130.96; -307.63; 894.64
169.53; 65.99; 2443.27; 542.93
98.65; 46.07; 2975.35; 354.56
70.65; 172.33; 1564.02; 1378.42
60.85; 130.17; 2806.32; 1052.97
116.12; 159.96; 594.81; 1225.07
261.65; 210.91; 229.69; 1725.20
79.80; 90.16; 1680.04; 796.63
297.22; 138.25; 2133.32; 1078.36
391.40; 234.65; 2233.42; 1783.49
155.05; 245.41; 1803.17; 3982.30
28.66; 56.11; -282.35; 491.38
359.30; 154.99; 2216.00; 1078.28
79.62; 75.80; 1079.81; 570.22
280.53; 181.71; 2819.88; 1202.83
185.33; 208.13; 2780.15; 1732.48
260.41; 89.19; -454.10; 676.05
280.59; 183.43; 2104.14; 1561.95
340.08; 239.79; 2824.17; 2117.58
244.49; 77.36; 1691.18; 701.50
381.94; 44.68; 433.39; 342.75
115.78; 164.27; 911.64; 1260.35
312.90; 183.26; -0.51; 1332.61
212.93; 53.26; 382.56; 465.85
172.76; 91.97; -276.83; 569.60
276.75; 181.04; 166.62; 1569.49
376.44; 219.22; 1126.06; 1795.20
291.13; 125.33; 397.34; 980.24
322.90; 161.50; 2697.95; 4447.80
282.79; 54.72; 1489.45; 411.22
182.53; 76.91; 2066.76; 622.30
23.77; 107.05; 2679.31; 932.96
169.78; 107.39; -338.56; 1080.91
298.61; 122.05; 1284.63; 974.69
170.58; 140.98; -9.57; 1378.95
148.39; 130.75; 2243.16; 969.28
377.46; 171.67; 1511.03; 1401.42
251.22; 76.74; 2373.01; 706.64
359.65; 166.20; 1780.70; 1393.66
15.43; 247.58; 2882.44; 2315.59
350.71; 82.00; 647.05; 618.22
96.12; 231.72; 123.11; 1861.73
171.96; 123.86; 669.74; 1094.46
187.37; 95.76; -317.33; 900.13
315.41; 236.08; 679.30; 1709.37
58.33; 138.37; -391.41; 1207.62
290.21; 42.22; 1051.54; 345.34
302.48; 231.32; -471.99; 2258.26
316.25; 80.97; 887.47; 744.50
205.31; 61.97; 2663.23; 520.55
329.75; 64.71; 2560.25; 536.55
90.85; 137.51; 397.08; 1063.14
274.27; 118.47; 2382.85; 892.29
21.29; 247.00; 494.73; 2185.92
30.61; 140.34; 1070.53; 970.67
289.18; 76.65; 1740.33; 546.16
178.10; 86.44; 1865.33; 785.11
47.13; 118.16; 2568.56; 936.66
153.15; 158.63; 782.39; 1203.01
350.78; 65.18; 1437.87; 520.17
225.24; 224.13; -244.39; 1969.28
