a;b;c;d;e;t
219.62; -208.50; 7.63; 3618217.12; 3; -1384933009220.42
228.77; 262.27; 63.52; 6540422.20; 5; -1806883659947.20
142.69; -2.53; 8.12; 509002.73; 1; -217797702315.73
220.96; 288.94; 57.41; 4881200.15; 4; -1739581947602.90
164.33; 174.12; 22.84; 674913.66; 1; -449889080773.79
155.49; -164.61; 2.95; 1209224.71; 2; -405105850980.30
82.42; 508.03; 50.67; 169332.26; 1; -32743141919.28
190.50; 85.41; 23.78; 1814384.74; 2; -941989401392.45
79.73; 5.53; 8.79; 158934.93; 1; -23775096437.03
95.44; 446.08; 70.51; 909069.06; 4; -52220342565.42
97.84; 356.73; 46.39; 477961.43; 2; -55358349990.92
153.55; 551.15; 79.26; 2355517.90; 4; -317677593544.41
173.81; 473.77; 64.48; 2264440.61; 3; -595626879114.28
125.76; 599.79; 58.32; 394803.91; 1; -141131123809.55
75.00; -457.92; 3.51; 705442.15; 5; -16461620671.99
148.11; 501.73; 75.14; 2191772.18; 4; -294819603638.48
279.54; -7.30; 24.39; 5860620.05; 3; -3692591586860.86
210.33; 245.50; 28.79; 1105761.50; 1; -11888981526903.33
156.21; 628.15; 69.01; 1218749.20; 2; -350338313216.96
220.90; 108.58; 17.38; 1219814.96; 1; -1535594875055.22
258.00; 422.11; 60.18; 4990851.74; 3; -2842861260836.18
255.67; -233.84; 5.51; 4903051.40; 3; -2463839806593.47
101.09; -186.88; 17.76; 1022741.18; 4; -63951129469.84
105.63; 308.88; 59.07; 1114634.44; 4; -77271164587.61
86.19; 227.29; 60.61; 927547.83; 5; -36209248562.06
105.64; -174.69; 10.44; 837468.99; 3; -75737234825.40
195.81; 708.53; 67.38; 957788.75; 1; -878628711999.99
79.47; 388.66; 49.05; 315007.61; 2; -28477468595.14
196.92; 714.16; 76.18; 1937487.07; 2; -859173217069.82
194.80; 569.60; 55.80; 948068.27; 1; -829934735372.92
261.38; 133.24; 44.44; 6831463.96; 4; -3018893579390.40
187.91; -17.81; 23.52; 2648455.53; 3; -735924214336.65
158.53; 599.60; 58.30; 627698.78; 1; -344678129232.31
223.22; 345.69; 45.47; 2490742.03; 2; -1782794544524.81
270.50; -106.24; 32.81; 9146564.37; 5; -3080996329905.10
262.22; 323.35; 68.61; 8593448.72; 5; -3141431777430.06
66.21; -336.18; 5.32; 439717.08; 4; -12031997593.25
135.02; 436.23; 53.02; 910641.85; 2; -180080787135.34
267.00; 458.55; 63.21; 5345402.81; 3; -2998326934460.80
131.53; 18.92; 43.24; 2162393.45; 5; -159639408649.59
241.29; -44.18; 21.32; 4366601.82; 3; -1700478907118.22
190.89; 652.78; 62.73; 910317.98; 1; -716424200382.19
231.44; 601.48; 66.79; 2677040.90; 2; -1801665504086.00
111.02; -275.20; 18.73; 1542058.66; 5; 628006861711.58
207.24; -378.24; 10.15; 5370457.39; 5; 10562086229184.71
275.46; 160.81; 21.73; 1896815.77; 1; -3785197207295.96
120.08; -59.88; 11.68; 721102.31; 2; -103125372445.87
268.66; -212.83; 23.93; 9023253.14; 5; -3878316605461.20
123.78; -257.55; 3.54; 1149893.21; 3; -161452105175.63
218.00; 156.36; 29.70; 2375830.27; 2; -1370553135116.41
172.28; -101.23; 33.23; 3710745.35; 5; -665967682487.09
81.93; 316.27; 51.36; 502494.39; 3; -26939163240.04
185.83; 281.42; 31.78; 863017.33; 1; -742061811539.16
122.91; 555.64; 62.97; 754269.15; 2; -131902628327.61
239.45; 670.71; 64.23; 1432737.49; 1; -2160955960150.20
66.12; 112.89; 17.74; 109186.81; 1; -11171340073.36
214.40; 169.23; 39.10; 3446993.72; 3; -1171462271267.44
189.43; 397.02; 58.08; 2690155.33; 3; -791064778659.88
126.12; 275.32; 56.28; 1589508.94; 4; -151973790045.91
158.36; 281.34; 65.11; 3133351.33; 5; -364240873836.19
161.37; -314.48; 15.46; 3256759.35; 5; -450486400615.99
177.87; -48.13; 37.66; 3954798.25; 5; -613228065538.11
264.28; -250.83; 12.43; 6985404.78; 4; -3449180419433.76
219.99; -61.89; 19.84; 3629709.16; 3; -1814173502270.45
60.90; 304.66; 50.39; 277251.96; 3; -8532393649.01
211.12; 478.40; 56.53; 2227520.41; 2; -1251313284182.67
154.10; -140.42; 13.30; 1781398.87; 3; -338501150962.64
247.13; -27.93; 14.34; 3053661.34; 2; -2276498529670.03
254.47; 122.80; 35.23; 4856264.48; 3; -2582108352858.24
235.91; 391.05; 65.92; 5564010.96; 4; -2372780279376.94
140.61; 223.30; 51.94; 1976118.28; 4; -249740865295.35
110.84; -396.23; 8.65; 1537660.03; 5; -94604010050.22
67.64; 329.28; 52.44; 342124.78; 3; -12052964140.15
83.21; -450.36; 4.14; 867690.18; 5; -26505929412.91
124.66; 109.76; 25.81; 776818.53; 2; -160031658311.67
62.15; 449.21; 70.77; 384432.26; 4; -7655885965.58
93.24; -299.03; 0.08; 652937.08; 3; -55383171857.08
275.74; -149.32; 12.56; 5702767.77; 3; -3558481160741.03
170.52; 336.60; 69.72; 3632905.34; 5; -573295956554.59
248.79; -108.75; 15.94; 4642543.26; 3; -2282635507554.55
129.80; 612.77; 76.06; 1261752.01; 3; -151993761333.57
253.42; 600.16; 58.35; 1604932.67; 1; -2578047799155.58
143.98; 284.24; 48.69; 1553861.74; 3; -273126506617.48
259.09; 186.11; 32.18; 3356103.17; 2; -3437348007860.13
164.74; 408.99; 59.08; 2034146.68; 3; -412830484215.43
128.79; 541.84; 70.15; 1242347.00; 3; -157585832122.77
84.90; -277.65; 18.53; 902304.90; 5; -35557309169.02
269.64; 627.49; 60.62; 1817040.16; 1; -3604086118776.80
140.87; 27.30; 27.27; 1488206.17; 3; -229163290092.82
187.86; 782.37; 73.53; 881506.47; 1; -771593179066.31
199.50; 289.98; 40.83; 1989347.60; 2; -1055996173531.99
155.12; 441.85; 61.82; 1803229.14; 3; -349887033036.49
108.61; 464.92; 72.08; 1177697.75; 4; -93920007893.77
81.92; 334.87; 44.57; 334844.31; 2; -27138153243.85
144.62; 656.43; 63.04; 522191.13; 1; -226362378184.39
137.00; 597.21; 74.77; 1405907.68; 3; -244509537300.75
246.94; 198.73; 24.89; 1524265.73; 1; -2384326221178.57
215.61; -309.49; 15.88; 5812303.07; 5; -1391829400779.95
273.38; 524.44; 77.04; 7471760.51; 4; -3360376720155.33
253.50; -69.08; 19.24; 4819863.90; 3; -2429632524844.25
204.76; -479.11; 1.74; 5243415.53; 5; -1066407311945.84
141.15; 155.27; 21.27; 497942.17; 1; -215521300440.98
130.17; 19.42; 34.95; 1694346.16; 4; -174135550598.72
159.02; -22.53; 14.79; 1264454.06; 2; -335837370383.58
87.22; 28.75; 35.73; 760554.97; 4; -36366458137.26
147.38; 182.95; 40.25; 1628527.06; 3; -331198578835.90
86.99; 382.03; 56.84; 566338.92; 3; -40171249716.32
91.28; 67.25; 22.27; 416507.25; 2; -44097416206.66
156.70; 177.45; 31.45; 1227430.03; 2; -389971350581.59
263.26; 184.23; 48.69; 6930005.40; 4; -3046710001764.74
88.74; 297.95; 33.16; 196553.99; 1; -40952692318.48
168.26; -2.07; 16.49; 1415508.74; 2; -500361853314.63
241.93; 68.17; 30.68; 4389510.34; 3; -2032097991258.59
111.53; 356.71; 46.39; 621266.93; 2; -88303543990.55
129.32; 414.36; 67.86; 1670727.06; 4; -188317262471.05
222.04; -149.23; 29.23; 6163571.52; 5; -1406839712913.91
78.86; 452.42; 62.70; 465110.54; 3; 9447294792901.14
268.48; -337.41; 13.55; 9011558.79; 5; -3054705409398.04
199.54; 80.04; 48.34; 4976768.53; 5; -733044796221.62
272.19; 160.29; 38.36; 5556163.95; 3; -3864902351307.85
119.62; -27.41; 22.72; 1073330.93; 3; -124287845865.74
224.27; 82.08; 31.84; 3772146.45; 3; -1490334923782.30
84.03; 301.37; 33.45; 176238.50; 1; -32530550840.10
128.57; 124.58; 35.38; 1239461.01; 3; -161798645547.36
68.34; 476.70; 73.06; 465082.94; 4; -12301169174.22
191.20; -450.86; 4.10; 4571946.12; 5; -887176018532.09
100.19; 257.07; 54.76; 1002759.26; 4; -57169845453.19
135.61; 430.78; 52.56; 918612.24; 2; -196668239263.90
150.87; -190.56; 0.79; 1138456.12; 2; -348657675055.30
87.80; 274.61; 31.22; 192447.05; 1; -41048957167.17
232.79; 854.08; 79.51; 1353938.47; 1; -1465716612409.03
76.70; 109.05; 25.75; 293962.48; 2; -25170606590.51
83.15; 121.76; 35.15; 518208.26; 3; -36666852259.31
114.78; 76.50; 39.71; 1317130.38; 4; -103856939305.10
123.29; 304.35; 58.70; 1518832.89; 4; -165321988294.81
102.17; -84.21; 1.32; 261028.31; 1; -63715738898.45
208.41; -137.98; 30.17; 5429942.51; 5; -1000179845342.82
163.58; 506.91; 75.58; 2673676.57; 4; -459763415966.23
130.84; -75.58; 2.04; 428050.31; 1; -219203592726.96
133.80; -121.14; 31.57; 2238366.45; 5; -217101728053.99
108.78; -248.75; 12.60; 1184311.40; 4; -93313032567.89
137.12; 847.82; 78.99; 469229.38; 1; -220027640475.40
235.75; 475.36; 72.95; 5555992.62; 4; -1800366816703.82
156.72; 441.48; 45.12; 613592.95; 1; -426217711856.04
261.40; 25.83; 43.82; 8541365.75; 5; -2809389271811.99
98.12; 140.04; 53.34; 1202684.78; 5; 8884047186574.93
176.93; 813.88; 76.16; 781770.81; 1; -594580552224.56
226.37; -117.51; 31.87; 6405790.29; 5; -1712047429864.66
74.94; 172.21; 56.02; 701129.43; 5; -20216778552.53
260.08; 416.39; 51.37; 3381179.58; 2; -834378295044.18
148.69; -301.70; 16.52; 2765133.08; 5; -251977121845.08
218.05; 557.25; 63.10; 2376191.64; 2; -1753626809187.81
138.25; 214.97; 42.91; 1432926.84; 3; -260373814215.08
103.62; 424.88; 43.74; 268017.31; 1; -63791157238.22
180.78; 258.59; 54.88; 3266926.17; 4; -763576466944.27
105.38; 308.84; 50.74; 831972.92; 3; -76719818362.27
251.58; 247.81; 45.65; 4746174.98; 3; -2561880004321.74
62.61; 244.54; 62.05; 488837.05; 5; -7716687817.84
238.35; 445.30; 53.77; 2839743.97; 2; -1664562504468.79
169.81; 292.79; 41.07; 1441260.29; 2; -541630892093.84
82.49; -295.72; 0.36; 511193.52; 3; -27555507734.45
82.95; 109.90; 34.16; 515742.74; 3; -26471439449.78
180.54; -295.85; 17.01; 4075794.98; 5; -618844999676.98
221.04; 46.21; 12.18; 1221391.79; 1; -1531963718773.12
249.68; -110.98; 24.09; 6234241.94; 4; -2321461199368.16
249.08; -128.30; 14.31; 4653350.48; 3; -2685693630386.54
170.68; -107.22; 7.73; 1456859.47; 2; -507620047936.98
160.30; 326.79; 60.57; 2568294.78; 4; -511339489284.36
201.60; 521.70; 51.81; 1015533.23; 1; -964984216329.57
194.19; -169.88; 27.51; 4714448.49; 5; -865314199914.51
62.19; 262.59; 30.22; 96438.08; 1; -10773253008.85
114.71; 442.56; 45.21; 328492.75; 1; -102849137395.18
278.30; -20.71; 39.94; 9681641.30; 5; -3701884982561.95
124.05; 27.01; 35.58; 1538762.17; 4; -135262510584.02
159.05; 339.16; 44.93; 1264127.15; 2; -355901564824.23
253.71; -315.02; 15.42; 8047984.28; 5; 8448716415624.31
123.03; 40.67; 36.72; 1513424.42; 4; -125332454930.62
159.10; 654.21; 71.18; 1264266.34; 2; -339980898502.45
268.18; 809.88; 75.82; 1797171.65; 1; -3343650821333.64
193.08; 81.42; 23.45; 1863742.98; 2; -956360690992.16
183.35; 806.37; 75.53; 839596.09; 1; -717059148588.61
135.43; 83.47; 48.62; 2292264.47; 5; -223297005231.32
86.67; 236.82; 36.40; 375105.95; 2; -37847126299.85
83.55; 653.90; 71.16; 347699.95; 2; -30062974373.88
90.01; -280.34; 9.97; 811270.37; 4; -40815441746.11
211.31; 177.43; 39.79; 3348467.67; 3; -1334808346101.39
115.69; 450.23; 54.19; 668345.38; 2; -105290141714.50
192.31; 575.55; 64.63; 1848040.33; 2; -985100601551.44
123.46; 857.98; 79.83; 380212.05; 1; -142201413468.98
118.59; 199.35; 41.61; 1054112.81; 3; -138234673175.08
204.23; -92.82; 33.93; 5214427.92; 5; -1049033905096.21
168.65; 704.70; 67.06; 710326.61; 1; -544488262170.04
234.46; -352.32; 3.97; 5498534.82; 4; -2017770178770.43
122.90; 650.96; 79.25; 1130825.69; 3; -159584494192.35
167.93; 705.07; 67.09; 704285.12; 1; -487062128458.66
69.10; 386.28; 40.52; 118973.84; 1; -14589904963.81
64.42; 438.20; 69.85; 413193.57; 4; -10507702230.93
220.36; -323.06; 14.75; 6071482.62; 5; -1481523535302.90
276.46; 513.94; 51.16; 1910227.79; 1; -3557444507393.57
133.85; -262.41; 3.13; 1344530.77; 3; -231581012517.76
207.72; 242.07; 53.51; 4313901.05; 4; -972047895706.21
124.15; -372.98; 10.59; 1928626.09; 5; -159109973524.00
86.94; -319.19; 15.07; 946424.84; 5; -39590853889.60
64.37; 54.80; 37.90; 414105.92; 4; -10972669657.11
185.15; 418.34; 68.19; 3426465.43; 4; -671927810697.97
101.29; 685.65; 73.80; 511623.58; 2; -68036955263.40
142.48; 137.16; 19.76; 507394.37; 1; -246310600421.56
159.80; -219.28; 23.39; 3193114.55; 5; -361238741894.43
167.23; 755.95; 79.66; 1396717.02; 2; -510970456563.38
197.05; -198.73; 25.11; 4854415.58; 5; -1085938094863.71
77.44; 294.92; 49.58; 448924.97; 3; -23001293064.69
192.62; -111.24; 32.40; 4638310.83; 5; -896620401069.34
253.48; 64.33; 38.69; 6425168.08; 4; -2769930775822.88
171.66; 204.49; 42.04; 2209298.45; 3; -544076838364.60
191.46; 810.07; 75.84; 915660.21; 1; -939768243763.80
79.62; 457.31; 54.78; 316070.13; 2; -24492400539.19
166.84; -275.93; 2.01; 2088443.17; 3; -616964069445.45
212.59; -39.86; 5.01; 1129933.88; 1; -1366405844525.53
82.90; 704.85; 67.07; 171096.98; 1; -38056427728.63
77.74; 377.97; 64.83; 602790.00; 4; -21866776297.05
257.37; 472.62; 72.72; 6622286.78; 4; -2436038902470.37
248.08; 78.13; 23.18; 3077049.31; 2; -2747143231434.63
240.80; 441.45; 53.45; 2898296.08; 2; -2219444742310.13
256.20; -398.59; 0.12; 6565288.04; 4; -2916516443952.14
98.02; 626.07; 77.17; 718671.78; 3; -52009497338.94
61.97; -41.69; 29.86; 384185.80; 4; -8420043169.20
272.53; 784.72; 73.73; 1855977.46; 1; -3376793517842.20
177.89; 403.04; 50.25; 1581430.56; 2; -602938930048.92
61.76; -57.79; 20.18; 286229.92; 3; -10675579585.95
220.30; 618.81; 68.23; 2425367.65; 2; -1247085790550.26
132.56; -287.19; 1.07; 1318816.16; 3; -188568160471.13
200.25; 380.20; 40.02; 1002107.91; 1; -1068990988647.13
222.44; -3.05; 16.41; 2474009.93; 2; -1688449890017.59
172.58; 314.83; 51.24; 2232775.06; 3; -571425347956.18
243.26; 315.98; 43.00; 2958257.78; 2; -2160314218335.34
229.77; 376.17; 56.35; 3958548.84; 3; -1826942158561.90
185.43; 434.41; 69.53; 3436542.06; 4; -580015233970.66
185.30; 46.11; 28.84; 2575016.12; 3; -4437221256456.39
120.07; 441.72; 78.48; 1800029.01; 5; -129639916480.08
279.25; -224.26; 14.65; 7799222.09; 4; -4131224110498.97
196.06; 573.21; 64.43; 1920870.33; 2; -1024131845889.90
221.80; -339.21; 13.40; 6150968.49; 5; -1451509426117.10
115.59; 378.45; 64.87; 1334477.38; 4; -97108649728.06
180.24; 504.57; 58.71; 1623322.21; 2; -614290549811.15
62.87; -67.60; 27.70; 395578.19; 4; -11291276392.63
61.60; -10.75; 15.77; 189741.23; 2; -8458201515.89
257.37; 554.09; 62.84; 3310949.27; 2; -2835484567231.05
118.89; 475.90; 64.66; 1058764.54; 3; -96618205032.13
87.40; -487.77; 1.02; 957177.26; 5; 5902159827723.27
239.11; 136.49; 19.71; 1429207.61; 1; -1874034772271.56
278.53; 308.48; 67.37; 9695494.81; 5; -3791043659046.15
264.14; -222.54; 14.79; 6978045.18; 4; -3094162086252.68
104.14; -493.98; 0.50; 1358138.71; 5; -70682252556.57
255.57; 58.20; 13.18; 1632904.51; 1; -2631138515394.09
207.37; 537.71; 53.14; 1074524.35; 1; -1184819109538.76
156.22; -191.77; 25.69; 3051624.86; 5; -307474198539.48
214.60; 636.77; 61.40; 1150703.04; 1; -1503472054679.68
192.86; 387.74; 73.98; 4647214.84; 5; -751472674157.56
134.15; 127.56; 18.96; 449749.51; 1; -222710769059.57
142.11; 594.01; 66.17; 1008538.64; 2; -258606864668.99
148.80; 573.51; 72.79; 1658951.58; 3; -262499829245.66
96.75; 225.35; 35.45; 467619.96; 2; -57684198712.30
217.40; 721.18; 68.43; 1180823.40; 1; -1361591213225.15
207.03; 416.31; 51.36; 2142145.11; 2; -1366332189950.65
117.67; -36.60; 38.62; 1730818.43; 5; -125556205974.51
217.22; 512.64; 59.39; 2358144.38; 2; -1352210114952.98
274.12; 215.94; 34.66; 3756588.11; 2; -2986347904482.69
100.60; 599.90; 66.66; 504851.68; 2; -67818076900.22
163.59; -109.52; 32.54; 3345582.23; 5; -433731770122.76
164.39; 32.02; 11.00; 675582.65; 1; -397401362489.18
170.15; 834.11; 77.84; 722963.00; 1; -422360855836.45
152.37; 284.52; 32.04; 580105.16; 1; -310415245189.04
75.04; -196.10; 8.66; 422946.27; 3; -20196401814.86
134.61; -137.30; 5.23; 906238.71; 2; -187531611875.01
85.68; 59.70; 46.64; 917252.67; 5; -31922618990.33
177.51; 175.52; 56.29; 3937842.91; 5; -644708405129.69
212.31; -155.33; 20.39; 4508122.67; 4; -1518563105815.30
167.02; 259.11; 54.93; 2788576.29; 4; -507020905576.84
71.11; 632.38; 61.03; 125792.06; 1; -14321909924.98
192.20; -47.11; 29.41; 3694227.41; 4; -981915122383.17
107.19; 29.95; 27.50; 861632.33; 3; -80933603024.46
131.09; 589.64; 57.47; 429005.40; 1; -186872114113.62
267.91; 811.08; 75.92; 1793536.94; 1; -3236011933854.85
277.07; -302.17; 16.49; 9597548.40; 5; -4199764321299.50
247.08; 176.59; 48.05; 6104010.81; 4; -2367823699292.50
210.25; 364.15; 63.68; 4418927.23; 4; -1113306167167.35
248.15; -186.06; 9.50; 4618768.99; 3; -2688726347322.16
258.65; 370.41; 72.53; 8360655.78; 5; 5044195130528.94
174.37; -112.78; 32.27; 3801097.62; 5; -606870303095.69
259.06; 329.49; 69.12; 8387643.80; 5; -2795508375889.01
66.49; 265.12; 38.76; 220545.04; 2; -11078693359.63
265.70; 259.25; 63.27; 8823348.00; 5; -3211799482074.08
104.41; 163.90; 21.99; 272346.95; 1; -72049332696.64
266.69; 466.38; 63.87; 5332997.68; 3; -2844440508305.17
185.97; 153.68; 54.47; 4322533.34; 5; -764277281307.82
60.61; 567.83; 55.65; 91257.18; 1; -5927290486.07
269.54; -317.24; 15.23; 9083329.96; 5; -3341788055404.32
152.04; 70.28; 30.86; 1733552.43; 3; -348123443833.94
174.32; 513.33; 59.44; 1518422.66; 2; -484142865103.00
